line,status,identifier,aircon,display_eligible,reason
265,success,362060,0,0,
266,success,362067,0,0,
267,success,342255,0,0,
268,success,342254,0,0,
269,success,202956,0,0,
270,success,342260,0,0,
271,success,342264,0,0,
272,success,325017,0,0,
273,success,224387,0,0,
274,success,363565,0,0,
275,success,363561,0,0,
276,success,213745,0,0,
277,success,362059,0,0,
278,success,319663,0,0,
279,success,215789,0,0,
280,success,342248,0,0,
281,success,362063,0,0,
282,success,342263,0,0,
283,success,341518,0,0,
284,success,367397,0,0,
285,success,319662,0,0,
286,success,334291,0,0,
287,success,342266,0,0,
288,success,362066,0,0,
289,success,342259,0,0,
290,success,342267,0,0,
291,success,362061,0,0,
292,success,363562,0,0,
293,success,342249,0,0,
294,success,72947,0,0,
295,success,362064,0,0,
296,success,239270,0,0,
297,success,366685,0,0,
298,success,342247,0,0,
299,success,215813,0,0,
300,success,213744,0,0,
301,success,342250,0,0,
302,success,363564,0,0,
303,success,365793,0,0,
304,success,325018,0,0,
305,success,362065,0,0,
306,success,342265,0,0,
307,success,369166,0,0,
308,success,368526,0,0,
309,success,286391,0,0,
310,success,325346,0,0,
311,success,358277,0,0,
312,success,203177,0,0,
313,success,340433,0,0,
314,success,357923,0,0,
315,success,330560,0,0,
316,success,363390,0,0,
317,success,364390,0,0,
318,success,364377,0,0,
319,success,357922,0,0,
320,success,358414,0,0,
321,success,363389,0,0,
322,success,341682,0,0,
323,success,368853,0,0,
324,success,330559,0,0,
325,success,358465,0,0,
326,success,328929,0,0,
327,success,369120,0,0,
328,success,362994,0,0,
329,success,334042,0,0,
330,success,334043,0,0,
331,success,359895,0,0,
332,success,362991,0,0,
333,success,359886,0,0,
334,success,368525,0,0,
335,success,359894,0,0,
336,success,359893,0,0,
337,success,359897,0,0,
338,success,343098,0,0,
339,success,358276,0,0,
340,success,74313,0,0,
341,success,344827,0,0,
342,success,326399,0,0,
343,success,340059,0,0,
344,success,358411,0,0,
345,success,343099,0,0,
346,success,368927,0,0,
347,success,369119,0,0,
348,success,66237,0,0,
349,success,369199,0,0,
350,success,340617,0,0,
351,success,247309,0,0,
352,success,344867,0,0,
353,success,344866,0,0,
354,success,297331,0,0,
355,success,255632,0,0,
356,success,338926,0,0,
357,success,337361,0,0,
358,success,359551,0,0,
359,success,106941,0,0,
360,success,332053,0,0,
361,success,307339,0,0,
362,success,344865,0,0,
363,success,67703,0,0,
364,success,337515,0,0,
365,success,97318,0,0,
366,success,369337,0,0,
367,success,230989,0,0,
368,success,236044,0,0,
369,success,344868,0,0,
370,success,338015,0,0,
371,success,325213,0,0,
372,success,296810,0,0,
373,success,337362,0,0,
374,success,368538,0,0,
375,success,71962,0,0,
376,success,229657,0,0,
377,success,354793,0,0,
378,success,368305,0,0,
379,success,230801,0,0,
380,success,368537,0,0,
381,success,305492,0,0,
382,success,354792,0,0,
383,success,68564,0,0,
384,success,239286,0,0,
385,success,338017,0,0,
386,success,338016,0,0,
387,success,239583,0,0,
388,success,283437,0,0,
389,success,366710,0,0,
390,success,305494,0,0,
391,success,226520,0,0,
392,success,359935,0,0,
393,success,305495,0,0,
394,success,307338,0,0,
395,success,233451,0,0,
396,success,324568,0,0,
397,success,342577,0,0,
398,success,342579,0,0,
399,success,359934,0,0,
400,success,359561,0,0,
401,success,341782,0,0,
402,success,78391,0,0,
403,success,239590,0,0,
404,success,307337,0,0,
405,success,237689,0,0,
406,success,275174,0,0,
407,success,307340,0,0,
408,success,81593,0,0,
409,success,316639,0,0,
410,success,332054,0,0,
411,success,247374,0,0,
412,success,67084,0,0,
413,success,339275,0,0,
414,success,297328,0,0,
415,success,287807,0,0,
416,success,359715,0,0,
417,success,331070,0,0,
418,success,245584,0,0,
419,success,344829,0,0,
420,success,277045,0,0,
421,success,72070,0,0,
422,success,344828,0,0,
423,success,71433,0,0,
424,success,342648,0,0,
425,success,342652,0,0,
426,success,342653,0,0,
427,success,305776,0,0,
428,success,367315,0,0,
429,success,328927,0,0,
430,success,342646,0,0,
431,success,147934,0,0,
432,success,342649,0,0,
433,success,247531,0,0,
434,success,245587,0,0,
435,success,203176,0,0,
436,success,189253,0,0,
437,success,342647,0,0,
438,success,89298,0,0,
439,success,364398,0,0,
440,success,325347,0,0,
441,success,203211,0,0,
442,success,362901,0,0,
443,success,245585,0,0,
444,success,310475,0,0,
445,success,273258,0,0,
446,success,362902,0,0,
447,success,326398,0,0,
448,success,245586,0,0,
449,success,121557,0,0,
450,success,235089,0,0,
451,success,368549,0,0,
452,success,358495,0,0,
453,success,361587,0,0,
454,success,360573,0,0,
455,success,360148,0,0,
456,success,366880,0,0,
457,success,357918,0,0,
458,success,360561,0,0,
459,success,364402,0,0,
460,success,364203,0,0,
461,success,364191,0,0,
462,success,360562,0,0,
463,success,363569,0,0,
464,success,369555,0,0,
465,success,366878,0,0,
466,success,360558,0,0,
467,success,363393,0,0,
468,success,368135,0,0,
469,success,358229,0,0,
470,success,360147,0,0,
471,success,360216,0,0,
472,success,368016,0,0,
473,success,358234,0,0,
474,success,363411,0,0,
475,success,360146,0,0,
476,success,363567,0,0,
477,success,360625,0,0,
478,success,366914,0,0,
479,success,367351,0,0,
480,success,359318,0,0,
481,success,360218,0,0,
482,success,359306,0,0,
483,success,366915,0,0,
484,success,360130,0,0,
485,success,368001,0,0,
486,success,360213,0,0,
487,success,368002,0,0,
488,success,363412,0,0,
489,success,366879,0,0,
490,success,360547,0,0,
491,success,364974,0,0,
492,success,368118,0,0,
493,success,360132,0,0,
494,success,368531,0,0,
495,success,360131,0,0,
496,success,364814,0,0,
497,success,364400,0,0,
498,success,359317,0,0,
499,success,360544,0,0,
500,success,368604,0,0,
501,success,360219,0,0,
502,success,73312,0,0,
503,success,341087,0,0,
504,success,343094,0,0,
505,success,200604,0,0,
506,success,329860,0,0,
507,success,212285,0,0,
508,success,283616,0,0,
509,success,217363,0,0,
510,success,284335,0,0,
511,success,69475,0,0,
512,success,224406,0,0,
513,success,65224,0,0,
514,success,322756,0,0,
515,success,294038,0,0,
516,success,189649,0,0,
517,success,339939,0,0,
518,success,210263,0,0,
519,success,316206,0,0,
520,success,224405,0,0,
521,success,204632,0,0,
522,success,304876,0,0,
523,success,330520,0,0,
524,success,320457,0,0,
525,success,291392,0,0,
526,success,354788,0,0,
527,success,177647,0,0,
528,success,339194,0,0,
529,success,327193,0,0,
530,success,329861,0,0,
531,success,304986,0,0,
